iter	Passed	Remaining
697	10565	4571
698	10573	4553
699	10582	4535
700	10590	4517
701	10598	4498
702	10606	4481
703	10615	4463
704	10623	4445
705	10630	4426
706	10654	4415
707	10663	4398
708	10672	4380
709	10680	4362
710	10689	4344
711	10697	4327
712	10707	4309
713	10716	4292
714	10756	4287
715	10772	4272
716	10795	4261
717	10808	4245
718	10819	4228
719	10830	4211
720	10844	4196
721	10855	4179
722	10864	4162
723	10890	4151
724	10899	4134
725	10945	4131
726	10964	4117
727	10975	4100
728	10983	4083
729	10992	4065
730	11001	4048
731	11009	4030
732	11019	4013
733	11027	3996
734	11036	3979
735	11045	3962
736	11056	3945
737	11064	3928
738	11073	3911
739	11083	3894
740	11092	3876
741	11101	3860
742	11109	3842
743	11118	3825
744	11127	3808
745	11140	3793
746	11150	3776
747	11158	3759
748	11236	3765
749	11260	3753
750	11274	3738
751	11284	3721
752	11292	3704
753	11300	3686
754	11308	3669
755	11317	3652
756	11346	3642
757	11354	3625
758	11363	3608
759	11371	3590
760	11380	3574
761	11392	3558
762	11417	3546
763	11430	3530
764	11441	3514
765	11450	3497
766	11459	3481
767	11469	3464
768	11479	3448
769	11488	3431
770	11499	3415
771	11507	3398
772	11517	3382
773	11526	3365
774	11535	3348
775	11543	3332
776	11553	3315
777	11562	3299
778	11572	3283
779	11580	3266
780	11592	3250
781	11601	3234
782	11610	3217
783	11620	3201
784	11638	3187
785	11646	3171
786	11656	3154
787	11666	3138
788	11675	3122
789	11684	3106
790	11693	3089
791	11703	3073
792	11712	3057
793	11720	3040
794	11729	3024
795	11767	3015
796	11787	3002
797	11798	2986
798	11811	2971
799	11822	2955
800	11833	2939
801	11844	2924
802	11854	2908
803	11863	2892
804	11891	2880
805	11902	2864
806	11912	2848
807	11934	2835
808	11945	2820
809	11954	2804
810	12002	2797
811	12022	2783
812	12035	2768
813	12082	2760
814	12097	2745
815	12108	2730
816	12118	2714
817	12164	2706
818	12210	2698
819	12232	2685
820	12246	2669
821	12255	2653
822	12264	2637
823	12272	2621
824	12281	2605
825	12289	2588
826	12298	2572
827	12307	2556
828	12337	2544
829	12348	2529
830	12361	2513
831	12369	2497
832	12378	2481
833	12387	2465
834	12438	2458
835	12461	2444
836	12476	2429
837	12488	2414
838	12499	2398
839	12507	2382
840	12515	2366
841	12523	2349
842	12532	2334
843	12553	2320
844	12586	2308
845	12603	2294
846	12614	2278
847	12623	2262
848	12633	2246
849	12643	2231
850	12655	2215
851	12662	2199
852	12672	2183
853	12681	2167
854	12689	2151
855	12697	2136
856	12706	2120
857	12715	2104
858	12724	2088
859	12733	2072
860	12763	2060
861	12771	2044
862	12779	2028
863	12787	2012
864	12796	1997
865	12806	1981
866	12824	1967
867	12840	1952
868	12856	1938
869	12865	1922
870	12874	1906
871	12883	1891
872	12891	1875
873	12898	1859
874	12908	1844
875	12918	1828
876	12927	1813
877	12936	1797
878	12946	1782
879	12956	1766
880	12966	1751
881	12974	1735
882	12983	1720
883	12992	1704
884	13000	1689
885	13009	1673
886	13019	1658
887	13028	1643
888	13038	1627
889	13049	1612
890	13058	1597
891	13068	1582
892	13078	1567
893	13088	1551
894	13097	1536
895	13106	1521
896	13116	1506
897	13126	1490
898	13146	1476
899	13156	1461
900	13167	1446
901	13177	1431
902	13186	1416
903	13213	1403
904	13283	1394
905	13299	1379
906	13310	1364
907	13320	1349
908	13358	1337
909	13378	1323
910	13389	1308
911	13400	1293
912	13424	1279
913	13436	1264
914	13454	1249
915	13517	1239
916	13540	1225
917	13552	1210
918	13562	1195
919	13570	1180
920	13602	1166
921	13615	1151
922	13626	1136
923	13634	1121
924	13642	1106
925	13656	1091
926	13665	1076
927	13673	1060
928	13683	1045
929	13692	1030
930	13701	1015
931	13709	1000
932	13718	985
933	13727	970
934	13735	954
935	13744	939
936	13754	924
937	13762	909
938	13771	894
939	13780	879
940	13789	864
941	13832	851
942	13846	836
943	13857	822
944	13866	807
945	13876	792
946	13886	777
947	13894	762
948	13903	747
949	13916	732
950	13924	717
951	13932	702
952	13941	687
953	13950	672
954	13991	659
955	14008	644
956	14033	630
957	14045	615
958	14054	600
959	14064	586
960	14072	571
961	14080	556
962	14132	543
963	14147	528
964	14160	513
965	14173	498
966	14181	483
967	14189	469
968	14197	454
969	14206	439
970	14215	424
971	14224	409
972	14245	395
973	14257	380
974	14271	365
975	14279	351
976	14288	336
977	14297	321
978	14305	306
979	14315	292
980	14324	277
981	14333	262
982	14340	248
983	14349	233
984	14358	218
985	14367	203
986	14375	189
987	14384	174
988	14395	160
989	14404	145
990	14432	131
991	14443	116
992	14452	101
993	14479	87
994	14493	72
995	14504	58
996	14514	43
997	14523	29
998	14531	14
999	14538	0
